Period,Continent,TotalPopulation
2012-07-01,NHS ENGLAND SOUTH WEST ,13845
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17268
2012-07-01,NHS ENGLAND MIDLANDS ,27780
2012-07-01,NHS ENGLAND SOUTH EAST ,10804
2012-07-01,NHS ENGLAND SOUTH EAST ,11843
2012-07-01,NHS ENGLAND SOUTH EAST ,10471
2012-07-01,NHS ENGLAND SOUTH WEST ,7970
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20270
2012-07-01,NHS ENGLAND NORTH WEST ,16749
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5046
2012-07-01,NHS ENGLAND SOUTH WEST ,8037
2012-07-01,NHS ENGLAND LONDON,6412
2012-07-01,NHS ENGLAND SOUTH EAST ,29226
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20267
2012-07-01,NHS ENGLAND NORTH WEST ,20462
2012-07-01,NHS ENGLAND SOUTH EAST ,7763
2012-07-01,NHS ENGLAND NORTH WEST ,18240
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4514
2012-07-01,NHS ENGLAND MIDLANDS ,14296
2012-07-01,NHS ENGLAND MIDLANDS ,21011
2012-07-01,NHS ENGLAND SOUTH EAST ,13455
2012-07-01,NHS ENGLAND EAST OF ENGLAND ,11851
2012-07-01,NHS ENGLAND EAST OF ENGLAND ,32121
2012-07-01,NHS ENGLAND NORTH WEST ,4650
2012-07-01,NHS ENGLAND MIDLANDS ,20057
2012-07-01,NHS ENGLAND NORTH WEST ,18056
2012-07-01,NHS ENGLAND SOUTH EAST ,1444
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,19750
2012-07-01,NHS ENGLAND MIDLANDS ,19918
2012-07-01,NHS ENGLAND SOUTH EAST ,9615
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,26930
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1506
2012-07-01,NHS ENGLAND MIDLANDS ,18930
2012-07-01,NHS ENGLAND NORTH WEST ,15874
2012-07-01,NHS ENGLAND NORTH WEST ,20786
2012-07-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,33671
2012-07-01,NHS ENGLAND SOUTH EAST ,17292
2012-07-01,NHS ENGLAND NORTH WEST ,10848
2012-07-01,NHS ENGLAND MIDLANDS ,16744
2012-07-01,NHS ENGLAND NORTH WEST ,9178
2012-07-01,NHS ENGLAND EAST OF ENGLAND ,12269
2012-07-01,NHS ENGLAND MIDLANDS ,10805
2012-07-01,NHS ENGLAND NORTH WEST ,13080
2012-07-01,NHS ENGLAND MIDLANDS ,6907
2012-07-01,NHS ENGLAND LONDON,7565
2012-07-01,NHS ENGLAND SOUTH WEST ,3157
2012-07-01,NHS ENGLAND MIDLANDS ,3423
2012-07-01,NHS ENGLAND LONDON,18852
2012-07-01,NHS ENGLAND SOUTH EAST ,26586
2012-07-01,NHS ENGLAND LONDON,6475
2012-07-01,NHS ENGLAND SOUTH EAST ,17089
2012-07-01,NHS ENGLAND SOUTH EAST ,8643
2012-07-01,NHS ENGLAND LONDON,10660
2012-07-01,NHS ENGLAND EAST OF ENGLAND ,3769
2012-07-01,NHS ENGLAND NORTH WEST ,7765
2012-07-01,NHS ENGLAND MIDLANDS ,8451
2012-07-01,NHS ENGLAND SOUTH EAST ,1794
2012-07-01,NHS ENGLAND MIDLANDS ,0
2012-07-01,NHS ENGLAND SOUTH EAST ,2289
2012-07-01,NHS ENGLAND LONDON,952
2012-07-01,NHS ENGLAND MIDLANDS ,8013
2012-07-01,NHS ENGLAND SOUTH EAST ,4688
2012-08-01,NHS ENGLAND MIDLANDS ,7339
2012-08-01,NHS ENGLAND SOUTH WEST ,6588
2012-08-01,NHS ENGLAND NORTH WEST ,2399
2012-08-01,NHS ENGLAND SOUTH EAST ,2310
2012-08-01,NHS ENGLAND LONDON,4873
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7345
2012-08-01,NHS ENGLAND SOUTH EAST ,2965
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3649
2012-08-01,NHS ENGLAND SOUTH WEST ,1628
2012-08-01,NHS ENGLAND MIDLANDS ,9719
2012-08-01,NHS ENGLAND MIDLANDS ,6722
2012-08-01,NHS ENGLAND MIDLANDS ,8153
2012-08-01,NHS ENGLAND MIDLANDS ,13491
2012-08-01,NHS ENGLAND SOUTH WEST ,11234
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,15400
2012-08-01,NHS ENGLAND SOUTH EAST ,0
2012-08-01,NHS ENGLAND SOUTH WEST ,0
2012-08-01,NHS ENGLAND SOUTH EAST ,6839
2012-08-01,NHS ENGLAND SOUTH EAST ,1282
2012-08-01,NHS ENGLAND MIDLANDS ,4781
2012-08-01,NHS ENGLAND MIDLANDS ,13666
2012-08-01,NHS ENGLAND SOUTH WEST ,8814
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4426
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5535
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3976
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1754
2012-08-01,NHS ENGLAND MIDLANDS ,15498
2012-08-01,NHS ENGLAND MIDLANDS ,5691
2012-08-01,NHS ENGLAND MIDLANDS ,3892
2012-08-01,NHS ENGLAND MIDLANDS ,1562
2012-08-01,NHS ENGLAND MIDLANDS ,2834
2012-08-01,NHS ENGLAND MIDLANDS ,7610
2012-08-01,NHS ENGLAND MIDLANDS ,0
2012-08-01,NHS ENGLAND SOUTH EAST ,12906
2012-08-01,NHS ENGLAND SOUTH EAST ,0
2012-08-01,NHS ENGLAND NORTH WEST ,1778
2012-08-01,NHS ENGLAND SOUTH WEST ,6656
2012-08-01,NHS ENGLAND MIDLANDS ,7015
2012-08-01,NHS ENGLAND MIDLANDS ,8463
2012-08-01,NHS ENGLAND SOUTH EAST ,4887
2012-08-01,NHS ENGLAND SOUTH EAST ,16443
2012-08-01,NHS ENGLAND SOUTH EAST ,12356
2012-08-01,NHS ENGLAND SOUTH EAST ,3612
2012-08-01,NHS ENGLAND NORTH WEST ,8887
2012-08-01,NHS ENGLAND NORTH WEST ,38447
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18320
2012-08-01,NHS ENGLAND SOUTH WEST ,13872
2012-08-01,NHS ENGLAND MIDLANDS ,0
2012-08-01,NHS ENGLAND SOUTH EAST ,3859
2012-08-01,NHS ENGLAND LONDON,41917
2012-08-01,NHS ENGLAND LONDON,34290
2012-08-01,NHS ENGLAND SOUTH EAST ,17081
2012-08-01,NHS ENGLAND SOUTH WEST ,7338
2012-08-01,NHS ENGLAND SOUTH WEST ,21779
2012-08-01,NHS ENGLAND SOUTH WEST ,15072
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5889
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,27513
2012-08-01,NHS ENGLAND LONDON,30531
2012-08-01,NHS ENGLAND LONDON,3943
2012-08-01,NHS ENGLAND LONDON,15443
2012-08-01,NHS ENGLAND LONDON,19596
2012-08-01,NHS ENGLAND LONDON,690
2012-08-01,NHS ENGLAND LONDON,13207
2012-08-01,NHS ENGLAND SOUTH WEST ,11265
2012-08-01,NHS ENGLAND MIDLANDS ,3530
2012-08-01,NHS ENGLAND NORTH WEST ,16990
2012-08-01,NHS ENGLAND NORTH WEST ,16397
2012-08-01,NHS ENGLAND NORTH WEST ,2193
2012-08-01,NHS ENGLAND NORTH WEST ,14393
2012-08-01,NHS ENGLAND NORTH WEST ,6999
2012-08-01,NHS ENGLAND NORTH WEST ,146
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,21800
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15190
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2978
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9230
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4559
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,15114
2012-08-01,NHS ENGLAND SOUTH WEST ,16854
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,17411
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,29987
2012-08-01,NHS ENGLAND SOUTH EAST ,20361
2012-08-01,NHS ENGLAND SOUTH EAST ,18446
2012-08-01,NHS ENGLAND SOUTH WEST ,6931
2012-08-01,NHS ENGLAND SOUTH WEST ,18756
2012-08-01,NHS ENGLAND NORTH WEST ,29818
2012-08-01,NHS ENGLAND NORTH WEST ,5528
2012-08-01,NHS ENGLAND NORTH WEST ,7198
2012-08-01,NHS ENGLAND LONDON,23095
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15717
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6159
2012-08-01,NHS ENGLAND MIDLANDS ,15168
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,18445
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,11435
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,19557
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,4129
2012-08-01,NHS ENGLAND SOUTH WEST ,14562
2012-08-01,NHS ENGLAND SOUTH WEST ,12852
2012-08-01,NHS ENGLAND SOUTH EAST ,3326
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,24707
2012-08-01,NHS ENGLAND SOUTH EAST ,15131
2012-08-01,NHS ENGLAND SOUTH EAST ,23145
2012-08-01,NHS ENGLAND LONDON,13796
2012-08-01,NHS ENGLAND LONDON,33175
2012-08-01,NHS ENGLAND LONDON,21279
2012-08-01,NHS ENGLAND LONDON,14678
2012-08-01,NHS ENGLAND SOUTH WEST ,2831
2012-08-01,NHS ENGLAND MIDLANDS ,16273
2012-08-01,NHS ENGLAND MIDLANDS ,4773
2012-08-01,NHS ENGLAND MIDLANDS ,21786
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,6025
2012-08-01,NHS ENGLAND NORTH WEST ,10456
2012-08-01,NHS ENGLAND NORTH WEST ,14663
2012-08-01,NHS ENGLAND LONDON,26664
2012-08-01,NHS ENGLAND MIDLANDS ,23810
2012-08-01,NHS ENGLAND SOUTH WEST ,15021
2012-08-01,NHS ENGLAND MIDLANDS ,17696
2012-08-01,NHS ENGLAND LONDON,18807
2012-08-01,NHS ENGLAND MIDLANDS ,9913
2012-08-01,NHS ENGLAND MIDLANDS ,24667
2012-08-01,NHS ENGLAND MIDLANDS ,13436
2012-08-01,NHS ENGLAND MIDLANDS ,2800
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,11033
2012-08-01,NHS ENGLAND NORTH WEST ,29080
2012-08-01,NHS ENGLAND NORTH WEST ,15903
2012-08-01,NHS ENGLAND NORTH WEST ,19477
2012-08-01,NHS ENGLAND SOUTH WEST ,3218
2012-08-01,NHS ENGLAND SOUTH EAST ,8102
2012-08-01,NHS ENGLAND SOUTH EAST ,11647
2012-08-01,NHS ENGLAND MIDLANDS ,18272
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13617
2012-08-01,NHS ENGLAND MIDLANDS ,13259
2012-08-01,NHS ENGLAND MIDLANDS ,16015
2012-08-01,NHS ENGLAND SOUTH EAST ,14608
2012-08-01,NHS ENGLAND SOUTH WEST ,17353
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4968
2012-08-01,NHS ENGLAND LONDON,4947
2012-08-01,NHS ENGLAND SOUTH EAST ,13702
2012-08-01,NHS ENGLAND SOUTH EAST ,6647
2012-08-01,NHS ENGLAND MIDLANDS ,17695
2012-08-01,NHS ENGLAND LONDON,36988
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,17521
2012-08-01,NHS ENGLAND LONDON,21606
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1800
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,24408
2012-08-01,NHS ENGLAND NORTH WEST ,1322
2012-08-01,NHS ENGLAND MIDLANDS ,33342
2012-08-01,NHS ENGLAND LONDON,27609
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10052
2012-08-01,NHS ENGLAND SOUTH WEST ,20753
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,23684
2012-08-01,NHS ENGLAND MIDLANDS ,34249
2012-08-01,NHS ENGLAND SOUTH EAST ,14230
2012-08-01,NHS ENGLAND SOUTH EAST ,22021
2012-08-01,NHS ENGLAND SOUTH EAST ,9006
2012-08-01,NHS ENGLAND SOUTH WEST ,7932
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14581
2012-08-01,NHS ENGLAND NORTH WEST ,19083
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11049
2012-08-01,NHS ENGLAND SOUTH WEST ,5834
2012-08-01,NHS ENGLAND LONDON,10565
2012-08-01,NHS ENGLAND SOUTH EAST ,17916
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,13842
2012-08-01,NHS ENGLAND NORTH WEST ,11796
2012-08-01,NHS ENGLAND SOUTH EAST ,14152
2012-08-01,NHS ENGLAND NORTH WEST ,18800
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17823
2012-08-01,NHS ENGLAND MIDLANDS ,24616
2012-08-01,NHS ENGLAND MIDLANDS ,32994
2012-08-01,NHS ENGLAND SOUTH EAST ,26122
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,27183
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,20136
2012-08-01,NHS ENGLAND NORTH WEST ,17986
2012-08-01,NHS ENGLAND MIDLANDS ,14758
2012-08-01,NHS ENGLAND NORTH WEST ,13782
2012-08-01,NHS ENGLAND SOUTH EAST ,7610
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18044
2012-08-01,NHS ENGLAND MIDLANDS ,13628
2012-08-01,NHS ENGLAND SOUTH EAST ,23260
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,27475
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8506
2012-08-01,NHS ENGLAND MIDLANDS ,24017
2012-08-01,NHS ENGLAND NORTH WEST ,18414
2012-08-01,NHS ENGLAND NORTH WEST ,16426
2012-08-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,26609
2012-08-01,NHS ENGLAND SOUTH EAST ,37671
2012-08-01,NHS ENGLAND NORTH WEST ,15853
2012-08-01,NHS ENGLAND MIDLANDS ,6021
2012-08-01,NHS ENGLAND NORTH WEST ,4284
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,5550
2012-08-01,NHS ENGLAND MIDLANDS ,11147
2012-08-01,NHS ENGLAND NORTH WEST ,0
2012-08-01,NHS ENGLAND MIDLANDS ,5671
2012-08-01,NHS ENGLAND LONDON,7040
2012-08-01,NHS ENGLAND SOUTH WEST ,22
2012-08-01,NHS ENGLAND MIDLANDS ,624
2012-08-01,NHS ENGLAND LONDON,20101
2012-08-01,NHS ENGLAND SOUTH EAST ,38056
2012-08-01,NHS ENGLAND LONDON,18654
2012-08-01,NHS ENGLAND SOUTH EAST ,11486
2012-08-01,NHS ENGLAND SOUTH EAST ,8561
2012-08-01,NHS ENGLAND LONDON,13504
2012-08-01,NHS ENGLAND EAST OF ENGLAND ,6379
2012-08-01,NHS ENGLAND NORTH WEST ,6201
2012-08-01,NHS ENGLAND MIDLANDS ,4260
2012-08-01,NHS ENGLAND SOUTH EAST ,0
2012-08-01,NHS ENGLAND MIDLANDS ,6895
2012-08-01,NHS ENGLAND SOUTH EAST ,0
2012-08-01,NHS ENGLAND LONDON,0
2012-08-01,NHS ENGLAND MIDLANDS ,11336
2012-08-01,NHS ENGLAND SOUTH EAST ,0
2012-09-01,NHS ENGLAND MIDLANDS ,0
2012-09-01,NHS ENGLAND SOUTH WEST ,10003
2012-09-01,NHS ENGLAND NORTH WEST ,9110
2012-09-01,NHS ENGLAND SOUTH EAST ,6940
2012-09-01,NHS ENGLAND LONDON,5497
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9842
2012-09-01,NHS ENGLAND SOUTH EAST ,0
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,131
2012-09-01,NHS ENGLAND SOUTH WEST ,8841
2012-09-01,NHS ENGLAND MIDLANDS ,7321
2012-09-01,NHS ENGLAND MIDLANDS ,12706
2012-09-01,NHS ENGLAND MIDLANDS ,5394
2012-09-01,NHS ENGLAND MIDLANDS ,4259
2012-09-01,NHS ENGLAND SOUTH WEST ,11385
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,4470
2012-09-01,NHS ENGLAND SOUTH EAST ,8949
2012-09-01,NHS ENGLAND SOUTH WEST ,0
2012-09-01,NHS ENGLAND SOUTH EAST ,16142
2012-09-01,NHS ENGLAND SOUTH EAST ,4880
2012-09-01,NHS ENGLAND MIDLANDS ,4012
2012-09-01,NHS ENGLAND MIDLANDS ,6187
2012-09-01,NHS ENGLAND SOUTH WEST ,7564
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,11350
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,4487
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,1510
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,9897
2012-09-01,NHS ENGLAND MIDLANDS ,670
2012-09-01,NHS ENGLAND MIDLANDS ,8400
2012-09-01,NHS ENGLAND MIDLANDS ,315
2012-09-01,NHS ENGLAND MIDLANDS ,84
2012-09-01,NHS ENGLAND MIDLANDS ,10754
2012-09-01,NHS ENGLAND MIDLANDS ,2108
2012-09-01,NHS ENGLAND MIDLANDS ,2162
2012-09-01,NHS ENGLAND SOUTH EAST ,10641
2012-09-01,NHS ENGLAND SOUTH EAST ,9470
2012-09-01,NHS ENGLAND NORTH WEST ,468
2012-09-01,NHS ENGLAND SOUTH WEST ,6653
2012-09-01,NHS ENGLAND MIDLANDS ,10703
2012-09-01,NHS ENGLAND MIDLANDS ,4426
2012-09-01,NHS ENGLAND SOUTH EAST ,1975
2012-09-01,NHS ENGLAND SOUTH EAST ,1020
2012-09-01,NHS ENGLAND SOUTH EAST ,1897
2012-09-01,NHS ENGLAND SOUTH EAST ,5951
2012-09-01,NHS ENGLAND NORTH WEST ,2902
2012-09-01,NHS ENGLAND NORTH WEST ,47461
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17124
2012-09-01,NHS ENGLAND SOUTH WEST ,10880
2012-09-01,NHS ENGLAND MIDLANDS ,4969
2012-09-01,NHS ENGLAND SOUTH EAST ,21879
2012-09-01,NHS ENGLAND LONDON,36417
2012-09-01,NHS ENGLAND LONDON,41217
2012-09-01,NHS ENGLAND SOUTH EAST ,10665
2012-09-01,NHS ENGLAND SOUTH WEST ,3290
2012-09-01,NHS ENGLAND SOUTH WEST ,22215
2012-09-01,NHS ENGLAND SOUTH WEST ,21952
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,2993
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,26454
2012-09-01,NHS ENGLAND LONDON,32474
2012-09-01,NHS ENGLAND LONDON,763
2012-09-01,NHS ENGLAND LONDON,10791
2012-09-01,NHS ENGLAND LONDON,27103
2012-09-01,NHS ENGLAND LONDON,4539
2012-09-01,NHS ENGLAND LONDON,19027
2012-09-01,NHS ENGLAND SOUTH WEST ,6185
2012-09-01,NHS ENGLAND MIDLANDS ,22285
2012-09-01,NHS ENGLAND NORTH WEST ,24099
2012-09-01,NHS ENGLAND NORTH WEST ,7379
2012-09-01,NHS ENGLAND NORTH WEST ,13300
2012-09-01,NHS ENGLAND NORTH WEST ,5583
2012-09-01,NHS ENGLAND NORTH WEST ,10660
2012-09-01,NHS ENGLAND NORTH WEST ,1996
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,33871
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20589
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,8640
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,5898
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,6299
2012-09-01,NHS ENGLAND SOUTH WEST ,2491
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,17108
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,32668
2012-09-01,NHS ENGLAND SOUTH EAST ,16727
2012-09-01,NHS ENGLAND SOUTH EAST ,14816
2012-09-01,NHS ENGLAND SOUTH WEST ,4017
2012-09-01,NHS ENGLAND SOUTH WEST ,22626
2012-09-01,NHS ENGLAND NORTH WEST ,23613
2012-09-01,NHS ENGLAND NORTH WEST ,928
2012-09-01,NHS ENGLAND NORTH WEST ,4918
2012-09-01,NHS ENGLAND LONDON,21515
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,10748
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,7654
2012-09-01,NHS ENGLAND MIDLANDS ,16673
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,18748
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,13473
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,8086
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,9948
2012-09-01,NHS ENGLAND SOUTH WEST ,27779
2012-09-01,NHS ENGLAND SOUTH WEST ,19617
2012-09-01,NHS ENGLAND SOUTH EAST ,9865
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,24135
2012-09-01,NHS ENGLAND SOUTH EAST ,18811
2012-09-01,NHS ENGLAND SOUTH EAST ,26978
2012-09-01,NHS ENGLAND LONDON,17074
2012-09-01,NHS ENGLAND LONDON,28571
2012-09-01,NHS ENGLAND LONDON,23291
2012-09-01,NHS ENGLAND LONDON,9730
2012-09-01,NHS ENGLAND SOUTH WEST ,0
2012-09-01,NHS ENGLAND MIDLANDS ,14608
2012-09-01,NHS ENGLAND MIDLANDS ,7304
2012-09-01,NHS ENGLAND MIDLANDS ,20545
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,15354
2012-09-01,NHS ENGLAND NORTH WEST ,4130
2012-09-01,NHS ENGLAND NORTH WEST ,17786
2012-09-01,NHS ENGLAND LONDON,20555
2012-09-01,NHS ENGLAND MIDLANDS ,17621
2012-09-01,NHS ENGLAND SOUTH WEST ,15228
2012-09-01,NHS ENGLAND MIDLANDS ,20205
2012-09-01,NHS ENGLAND LONDON,15310
2012-09-01,NHS ENGLAND MIDLANDS ,1851
2012-09-01,NHS ENGLAND MIDLANDS ,12651
2012-09-01,NHS ENGLAND MIDLANDS ,11590
2012-09-01,NHS ENGLAND MIDLANDS ,17712
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,21919
2012-09-01,NHS ENGLAND NORTH WEST ,31703
2012-09-01,NHS ENGLAND NORTH WEST ,14364
2012-09-01,NHS ENGLAND NORTH WEST ,11949
2012-09-01,NHS ENGLAND SOUTH WEST ,4138
2012-09-01,NHS ENGLAND SOUTH EAST ,14276
2012-09-01,NHS ENGLAND SOUTH EAST ,21297
2012-09-01,NHS ENGLAND MIDLANDS ,7417
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17553
2012-09-01,NHS ENGLAND MIDLANDS ,12521
2012-09-01,NHS ENGLAND MIDLANDS ,12476
2012-09-01,NHS ENGLAND SOUTH EAST ,4383
2012-09-01,NHS ENGLAND SOUTH WEST ,2304
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,25053
2012-09-01,NHS ENGLAND LONDON,5906
2012-09-01,NHS ENGLAND SOUTH EAST ,19331
2012-09-01,NHS ENGLAND SOUTH EAST ,12938
2012-09-01,NHS ENGLAND MIDLANDS ,9029
2012-09-01,NHS ENGLAND LONDON,30150
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,19572
2012-09-01,NHS ENGLAND LONDON,5332
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12960
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,46237
2012-09-01,NHS ENGLAND NORTH WEST ,8242
2012-09-01,NHS ENGLAND MIDLANDS ,29145
2012-09-01,NHS ENGLAND LONDON,9179
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,14009
2012-09-01,NHS ENGLAND SOUTH WEST ,12697
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,19171
2012-09-01,NHS ENGLAND MIDLANDS ,31586
2012-09-01,NHS ENGLAND SOUTH EAST ,15733
2012-09-01,NHS ENGLAND SOUTH EAST ,7924
2012-09-01,NHS ENGLAND SOUTH EAST ,11423
2012-09-01,NHS ENGLAND SOUTH WEST ,17681
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,18877
2012-09-01,NHS ENGLAND NORTH WEST ,16340
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,3539
2012-09-01,NHS ENGLAND SOUTH WEST ,21332
2012-09-01,NHS ENGLAND LONDON,9337
2012-09-01,NHS ENGLAND SOUTH EAST ,25513
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17230
2012-09-01,NHS ENGLAND NORTH WEST ,23539
2012-09-01,NHS ENGLAND SOUTH EAST ,13292
2012-09-01,NHS ENGLAND NORTH WEST ,24945
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,17820
2012-09-01,NHS ENGLAND MIDLANDS ,3244
2012-09-01,NHS ENGLAND MIDLANDS ,20438
2012-09-01,NHS ENGLAND SOUTH EAST ,21176
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,13455
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,8153
2012-09-01,NHS ENGLAND NORTH WEST ,20546
2012-09-01,NHS ENGLAND MIDLANDS ,17348
2012-09-01,NHS ENGLAND NORTH WEST ,15965
2012-09-01,NHS ENGLAND SOUTH EAST ,8439
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,16356
2012-09-01,NHS ENGLAND MIDLANDS ,19432
2012-09-01,NHS ENGLAND SOUTH EAST ,12741
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,20077
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,0
2012-09-01,NHS ENGLAND MIDLANDS ,46310
2012-09-01,NHS ENGLAND NORTH WEST ,21768
2012-09-01,NHS ENGLAND NORTH WEST ,11982
2012-09-01,NHS ENGLAND NORTH EAST AND YORKSHIRE ,12117
2012-09-01,NHS ENGLAND SOUTH EAST ,11846
2012-09-01,NHS ENGLAND NORTH WEST ,19720
2012-09-01,NHS ENGLAND MIDLANDS ,10119
2012-09-01,NHS ENGLAND NORTH WEST ,2369
2012-09-01,NHS ENGLAND EAST OF ENGLAND ,11983
2012-09-01,NHS ENGLAND MIDLANDS ,6036
2012-09-01,NHS ENGLAND NORTH WEST ,8884
2012-09-01,NHS ENGLAND MIDLANDS ,4833
2012-09-01,NHS ENGLAND LONDON,3038
2012-09-01,NHS ENGLAND SOUTH WEST ,5848
2012-09-01,NHS ENGLAND MIDLANDS ,10126
2012-09-01,NHS ENGLAND LONDON,29795
2012-09-01,NHS ENGLAND SOUTH EAST ,28736
2012-09-01,NHS ENGLAND LONDON,14812
2012-09-01,NHS ENGLAND SOUTH EAST ,7934
2012-09-01,NHS ENGLAND SOUTH EAST ,9502
2012-09-01,NHS ENGLAND LONDON,6308
